borrower_id,borrower_type,loan_amount,emi_amount,avg_monthly_income,month1_balance,month1_income,month1_paid,month2_balance,month2_income,month2_paid,month3_balance,month3_income,month3_paid,month4_balance,month4_income,month4_paid,month5_balance,month5_income,month5_paid,month6_balance,month6_income,month6_paid,defaulted
B0001,farmer,113481,3582.5,27592,87880.63,27591.57,True,83799.87,25337.25,True,67081.36,19850.37,True,50963.06,17619.81,True,42598.43,16012.24,True,35674.14,13919.05,False,True
B0002,farmer,123429,5505.03,41872,86677.3,41872.23,True,71805.47,34591.6,True,56125.21,28918.93,True,51258.89,25159.76,True,40536.74,22199.78,True,32406.84,20539.49,False,True
B0003,salaried,114185,4831.97,74044,88347.67,74043.76,True,83276.12,61336.51,True,69806.15,53974.28,True,52978.55,47379.87,True,44205.99,45829.69,True,37605.6,38058.79,False,True
B0004,farmer,101680,3982.3,82420,112268.01,82419.64,True,92911.08,66693.06,True,74616.98,58428.72,True,62722.6,51223.17,True,50322.55,43888.95,True,40775.63,41695.46,False,True
B0005,salaried,92745,4074.73,45073,83959.36,45072.9,True,67173.94,38561.91,True,58642.92,34486.01,True,45360.23,28967.78,True,37306.35,26623.74,True,31403.49,23429.82,False,True
B0006,salaried,54811,2114.6,33968,72719.1,33968.46,True,55077.55,32006.72,True,46759.46,26119.96,True,40441.94,21904.65,True,34687.23,19445.18,True,27203.79,17519.55,False,True
B0007,small_trader,173379,7189.81,78378,136759.57,78377.69,True,132026.38,69507.79,True,108142.39,60163.11,True,81715.93,50593.27,True,73846.15,43707.36,True,58226.36,40065.08,False,True
B0008,salaried,99930,3231.87,13833,27042.51,13833.22,True,22765.64,11875.6,True,19034.61,9770.43,True,13833.79,9435.53,True,12266.31,7972.14,True,9799.93,6823.92,False,True
B0009,farmer,198926,9579.06,53074,98546.73,53074.45,True,82287.26,45721.75,True,79264.67,44094.92,True,58832.82,35118.68,True,48098.75,33412.55,True,42753.35,29526.22,False,True
B0010,gig_worker,183416,8232.49,8789,47384.46,8788.51,True,36732.09,8504.19,True,32830.34,7158.89,True,25928.54,5996.53,True,21607.11,5626.94,True,18149.98,4717.94,False,True
B0011,salaried,101362,4450.63,46783,99454.27,46783.08,True,72012.26,39867.26,True,68851.86,38149.92,True,53223.6,29589.63,True,46997.28,28810.15,True,35582.53,23932.79,False,True
B0012,small_trader,71529,2701.32,79868,148908.28,79868.42,True,123681.08,71039.13,True,96182.1,61483.87,True,80928.84,55432.24,True,63423.9,44008.75,True,53276.07,40341.36,False,True
B0013,salaried,139473,4415.01,38746,53062.32,38746.43,True,43301.04,34591.98,True,36120.41,28647.31,True,33690.3,25062.78,True,25330.89,22214.77,True,21495.31,20666.96,False,True
B0014,salaried,141456,4282.36,61718,128816.0,61718.17,True,118059.89,56597.79,True,96521.64,52885.6,True,79081.05,46624.08,True,60966.94,36509.83,True,50246.46,34204.24,False,True
B0015,gig_worker,47744,2155.16,60400,106491.06,60400.08,True,91998.49,52740.92,True,72783.89,42941.76,True,68055.47,38102.52,True,52740.02,34004.79,True,42457.27,30190.69,False,True
B0016,salaried,87709,3866.35,44561,57070.32,44561.25,True,53443.81,38433.24,True,43142.43,35453.5,True,34712.87,27893.28,True,28138.61,26330.08,True,24695.58,24322.8,False,True
B0017,farmer,113196,3728.84,66617,125662.99,66616.56,True,103461.2,54796.33,True,92713.54,47996.71,True,68774.62,40603.16,True,58524.85,34048.46,True,49751.05,32654.38,False,True
B0018,small_trader,68243,2295.53,59620,121311.73,59620.28,True,104679.27,51392.6,True,86119.59,49274.75,True,72029.62,40362.06,True,57195.45,35040.41,True,49659.39,32799.05,False,True
B0019,farmer,101865,4462.49,50981,94154.53,50980.63,True,77488.75,40723.43,True,65128.4,35592.66,True,56287.43,30804.54,True,45228.06,27180.48,True,37991.57,24915.44,False,True
B0020,small_trader,38699,1446.5,32842,51896.26,32841.91,True,47192.41,27665.68,True,41799.22,22722.34,True,31921.15,20218.77,True,27861.22,17456.45,True,21270.62,17156.17,False,True
B0021,salaried,11062,403.12,49741,101574.89,49740.75,True,78398.83,42923.38,True,65776.18,41001.64,True,52504.31,36066.52,True,46734.13,30842.62,True,36753.02,26436.98,False,True
B0022,salaried,195625,8245.81,15236,27630.24,15236.45,True,23299.03,12612.53,True,19918.92,11153.28,True,15517.37,9738.72,True,12521.97,8059.04,True,10518.46,7199.87,False,True
B0023,small_trader,19111,616.15,23478,95102.34,23477.9,True,70447.58,21080.95,True,66788.37,18812.84,True,49621.64,16463.76,True,41351.36,15165.61,True,36276.9,12781.56,False,True
B0024,farmer,190448,8517.78,52338,104372.44,52338.32,True,83281.95,41477.08,True,75145.95,35616.13,True,56462.82,33194.15,True,47052.35,30056.22,True,39523.97,25500.07,False,True
B0025,salaried,118872,5373.56,77178,122876.64,77178.36,True,101464.41,62326.08,True,98280.93,57397.15,True,72391.92,49651.84,True,64350.78,41722.37,True,49959.78,38245.5,False,True
B0026,small_trader,68596,2334.5,36834,64877.26,36834.07,True,59152.33,31426.27,True,47818.56,25974.39,True,36194.05,24250.57,True,32494.44,21264.91,True,27068.48,17514.68,False,True
B0027,gig_worker,175088,6623.52,23798,68459.56,23797.77,True,58081.29,20075.62,True,47135.73,19030.33,True,41598.14,15100.69,True,32769.92,14062.16,True,26746.68,11907.4,False,True
B0028,farmer,54028,1889.35,26770,38101.14,26769.57,True,30059.75,22784.21,True,26075.06,19551.43,True,20822.32,17908.62,True,18286.29,15463.32,True,14541.32,13348.79,False,True
B0029,farmer,30609,925.74,10851,58722.47,10850.66,True,51374.85,9574.89,True,45683.09,7673.0,True,34158.59,7119.93,True,28465.49,5705.47,True,25135.93,5606.63,False,True
B0030,gig_worker,101751,4827.32,48789,77367.43,48789.47,True,68260.19,43821.32,True,59660.79,39059.4,True,43822.24,30358.18,True,36518.54,26311.63,True,30675.57,24119.0,False,True
B0031,small_trader,142717,4813.33,51521,83473.7,51520.64,True,72068.28,43244.29,True,60091.07,34444.47,True,45711.32,31741.78,True,36701.03,27709.94,True,33841.17,24244.99,False,True
B0032,gig_worker,18666,835.3,26274,43027.59,26273.69,True,33239.14,24218.24,True,29150.29,20367.01,True,25720.48,18557.71,True,21315.84,15045.31,True,16348.59,14660.81,False,True
B0033,farmer,29816,983.13,47631,78829.08,47630.93,True,60928.44,37176.81,True,50303.83,34255.74,True,41318.22,27756.62,True,35574.6,24491.14,True,31725.59,22450.21,False,True
B0034,salaried,174608,7946.51,58233,117411.3,58232.81,True,100212.11,51430.89,True,85755.88,44955.51,True,67561.24,39151.99,True,59788.87,34172.27,True,47476.33,32821.7,False,True
B0035,farmer,36399,1613.18,56546,96095.95,56545.69,True,74530.2,49150.29,True,68750.56,44798.06,True,53212.65,35222.53,True,45673.09,31126.7,True,38890.81,28488.81,False,True
B0036,gig_worker,137157,4677.01,58716,79290.14,58715.95,True,67984.15,51599.82,True,61329.45,50489.2,True,51439.53,39479.11,True,42074.83,36827.92,True,32457.14,31931.64,False,True
B0037,gig_worker,126243,5363.18,69962,158951.31,69962.49,True,131737.82,61887.76,True,101887.33,53359.3,True,82424.61,46518.36,True,69025.98,42909.59,True,59167.53,37675.95,False,True
B0038,small_trader,109608,3853.57,9040,55244.72,9040.03,True,45654.07,8690.53,True,35903.68,7383.32,True,28473.12,5804.94,True,23727.6,5610.45,True,20399.21,4757.32,False,True
B0039,gig_worker,58756,1775.6,59765,116392.49,59765.46,True,92836.82,58607.66,True,72856.73,49588.15,True,62637.91,42554.16,True,52212.33,37842.96,True,44834.89,32562.06,False,True
B0040,gig_worker,31172,1311.19,72459,93918.52,72458.64,True,83389.03,58179.41,True,65850.24,54099.71,True,53437.78,45435.74,True,48428.14,40016.84,True,36566.66,37749.31,False,True
B0041,small_trader,156922,7364.06,60284,98335.59,60284.36,True,79939.46,55413.16,True,61330.74,45205.26,True,50374.46,40608.33,True,41978.72,34772.92,True,36460.98,32404.3,False,True
B0042,salaried,98929,3171.85,33667,54242.92,33666.7,True,44054.57,26226.71,True,40348.37,23004.82,True,33056.41,21813.76,True,26704.27,18257.59,True,21019.15,17029.46,False,True
B0043,salaried,100600,4917.45,80518,167909.56,80517.61,True,140038.79,68039.64,True,115389.52,55704.42,True,100076.08,54773.02,True,81276.28,46181.8,True,64560.18,40913.71,False,True
B0044,salaried,47265,1911.81,34339,95968.05,34338.72,True,81073.4,31733.73,True,67495.71,29292.44,True,51466.96,22480.94,True,45031.11,21174.51,True,37194.6,18183.11,False,True
B0045,salaried,89273,4243.44,71437,79066.99,71437.14,True,69072.27,60811.15,True,59838.4,53210.04,True,51192.54,50227.29,True,38888.66,41160.02,True,33912.26,39672.18,False,True
B0046,small_trader,115373,4425.17,57749,118851.56,57748.63,True,98721.23,51769.48,True,88741.46,49368.22,True,74124.36,37781.86,True,58071.31,33336.94,True,48868.22,30558.86,False,True
B0047,gig_worker,53001,2435.91,10596,72270.89,10595.61,True,66963.34,9932.2,True,49272.58,8437.74,True,41060.48,7940.08,True,34765.87,6760.83,True,28742.34,5983.61,False,True
B0048,gig_worker,71665,2700.47,56583,60814.77,56583.47,True,57057.91,49644.47,True,45580.15,40277.86,True,37211.6,35462.75,True,30098.32,29271.46,True,24371.05,29271.46,False,True
B0049,salaried,64028,2207.45,37302,79063.71,37301.83,True,69091.25,31550.5,True,57498.85,25764.55,True,51207.67,23296.35,True,41472.25,20535.25,True,31989.79,18334.45,False,True
B0050,gig_worker,43742,1316.71,64454,123503.89,64454.02,True,102816.6,63486.03,True,83902.39,50318.78,True,67816.34,42856.1,True,53347.65,41694.13,True,45045.4,38113.87,False,True
B0051,salaried,109616,5214.72,27943,56396.73,27943.02,True,48150.69,24821.33,True,41746.87,23408.78,True,31764.61,18614.1,True,27577.63,18007.27,True,22424.59,15354.73,False,True
B0052,small_trader,88249,2874.92,14568,38313.96,14567.72,True,29591.54,12646.53,True,27654.04,11381.97,True,23032.13,9625.1,True,17484.34,9386.7,True,15505.54,7748.88,False,True
B0053,small_trader,142079,4566.36,28610,86122.77,28610.27,True,75006.71,27231.22,True,58271.33,24590.47,True,50001.33,19486.18,True,40466.2,17051.28,True,36635.25,15630.34,False,True
B0054,salaried,30953,974.83,58868,65198.5,58868.26,True,56214.55,47659.83,True,41443.16,40201.03,True,37649.92,38018.86,True,30656.59,33295.07,True,24428.01,28091.6,False,True
B0055,small_trader,133395,5138.86,75678,156417.2,75678.35,True,140835.22,67878.91,True,107456.38,58888.55,True,87557.84,48924.28,True,72964.86,41890.73,True,62374.96,41405.09,False,True
B0056,salaried,194403,7377.96,15383,62414.29,15382.51,True,53164.52,12290.61,True,38803.96,11729.56,True,35311.44,9991.32,True,29881.61,8026.08,True,24576.02,7357.24,False,True
B0057,farmer,149783,6802.91,69776,111963.92,69776.39,True,92596.79,64652.74,True,78323.05,56779.07,True,60799.93,44677.85,True,50666.61,43410.55,True,42559.95,38324.19,False,True
B0058,gig_worker,139749,5819.07,37651,81109.82,37650.89,True,68177.36,36063.28,True,53730.5,31847.89,True,46534.52,24215.1,True,36502.58,22026.11,True,30662.17,19585.74,False,True
B0059,salaried,79298,2545.36,61849,100847.03,61849.44,True,83820.34,47211.02,True,71231.37,43530.14,True,60439.22,38799.62,True,49404.04,32232.1,True,39789.09,32064.67,False,True
B0060,gig_worker,62326,2035.21,47729,58108.22,47729.19,True,52619.27,44789.53,True,46494.93,37448.91,True,34201.72,32965.65,True,31219.03,30819.35,True,23952.5,28642.84,False,True
B0061,gig_worker,144461,6597.31,33183,72899.32,33183.18,True,61416.51,25419.82,True,51349.69,24677.55,True,40102.78,22206.86,True,36605.73,17331.7,True,30431.65,17331.7,False,True
B0062,farmer,167817,6138.8,74316,138923.85,74315.73,True,104905.72,61236.6,True,88215.84,55944.37,True,74179.58,45422.15,True,61261.0,40836.5,True,56125.28,36240.67,False,True
B0063,farmer,121822,4282.49,60256,113157.69,60255.66,True,94264.17,49044.76,True,74006.36,43776.59,True,63918.97,37898.22,True,51393.31,35635.83,True,43698.46,30652.97,False,True
B0064,salaried,36958,1774.5,37713,93165.22,37713.22,True,77865.77,35081.68,True,65930.11,29699.53,True,50773.02,26016.0,True,43240.83,22793.88,True,37151.08,19758.4,False,True
B0065,gig_worker,74324,2332.48,57144,76422.34,57143.58,True,66129.58,44444.29,True,49200.63,41632.76,True,40872.41,35903.8,True,37925.91,31810.55,True,28382.53,26995.1,False,True
B0066,salaried,153660,5338.23,12601,91851.56,12601.25,True,69040.01,11078.5,True,61646.87,9454.87,True,48049.29,8460.47,True,42577.65,6981.7,True,32862.45,6450.35,False,True
B0067,small_trader,102324,4669.64,60724,73427.03,60723.58,True,56504.48,51251.44,True,47257.37,48561.84,True,39017.14,39236.87,True,35186.75,33248.62,True,28856.24,31928.88,False,True
B0068,farmer,150272,6265.35,18986,67835.3,18986.18,True,49325.72,14856.42,True,41842.97,12807.01,True,36417.65,11315.34,True,32403.35,9851.54,True,24371.13,9329.16,False,True
B0069,small_trader,138335,6750.25,36275,94729.9,36274.73,True,79235.59,27211.47,True,68245.57,27211.47,True,51871.73,22665.22,True,43226.44,20498.9,True,36310.21,17350.33,False,True
B0070,salaried,120448,3686.64,12990,35103.11,12989.89,True,26900.38,10293.55,True,21529.91,9131.88,True,18125.45,8850.56,True,16439.78,6883.44,True,13723.16,6666.74,False,True
B0071,small_trader,128516,5312.89,51879,91607.69,51879.19,True,82753.51,47568.63,True,66107.36,40978.93,True,59488.52,34439.44,True,49991.75,29595.15,True,39963.09,25781.47,False,True
B0072,gig_worker,136969,5194.34,77506,95265.99,77506.14,True,74094.66,69126.58,True,61206.6,56101.56,True,53412.24,52058.92,True,41697.7,45255.08,True,36407.78,37456.14,False,True
B0073,salaried,41348,1913.39,17450,61927.14,17449.71,True,53008.57,15061.05,True,42608.46,12980.61,True,35335.76,10702.76,True,31073.16,9984.37,True,25389.65,8656.65,False,True
B0074,salaried,66088,2847.99,12981,52513.49,12980.61,True,38090.71,11211.75,True,32749.97,9942.98,True,26887.56,8787.63,True,23950.01,7725.77,True,20705.81,6895.74,False,True
B0075,small_trader,164243,7631.3,44045,94775.21,44044.79,True,76469.51,36731.85,True,61683.36,34318.02,True,53376.92,28454.66,True,44735.5,24924.57,True,34757.29,22726.48,False,True
B0076,farmer,164741,6639.64,54108,70422.5,54107.82,True,56900.34,42681.42,True,44256.87,40372.73,True,39800.7,33037.67,True,34494.93,32336.82,True,27091.6,27122.06,False,True
B0077,farmer,91571,3021.3,17819,36039.58,17818.51,True,27949.17,15019.32,True,25566.88,14094.89,True,19762.9,12270.53,True,16948.34,9796.07,True,13264.13,8822.11,False,True
