borrower_id,income_trend_score,balance_trend_score,payment_consistency_score,expense_pressure_score,income_volatility_score,loan_health_score,risk_bucket
B0001,45.34,34.13,83.0,100.0,71.03,60.84,Yellow
B0002,44.43,37.87,83.0,100.0,68.68,61.26,Yellow
B0003,49.32,35.83,83.0,100.0,76.29,62.98,Yellow
B0004,45.92,34.98,83.0,100.0,71.11,61.23,Yellow
B0005,46.9,34.38,83.0,100.0,75.04,61.77,Yellow
B0006,43.92,38.62,83.0,100.0,71.11,61.54,Yellow
B0007,44.58,36.72,83.0,100.0,71.95,61.35,Yellow
B0008,48.3,32.15,83.0,100.0,73.03,61.43,Yellow
B0009,48.62,37.55,83.0,100.0,79.48,63.52,Yellow
B0010,46.83,36.17,83.0,100.0,76.13,62.3,Yellow
B0011,45.97,36.51,83.0,100.0,75.05,62.02,Yellow
B0012,45.81,33.59,83.0,100.0,72.38,60.98,Yellow
B0013,46.62,40.77,83.0,100.0,74.0,63.18,Yellow
B0014,48.54,35.42,83.0,100.0,78.06,62.82,Yellow
B0015,45.54,40.18,83.0,100.0,71.05,62.41,Yellow
B0016,46.31,36.98,83.0,100.0,75.87,62.32,Yellow
B0017,43.34,35.01,83.0,100.0,68.19,60.17,Yellow
B0018,47.5,37.31,83.0,100.0,77.52,62.93,Yellow
B0019,45.12,38.92,83.0,100.0,69.53,61.82,Yellow
B0020,45.88,37.53,83.0,100.0,70.92,61.84,Yellow
B0021,49.84,35.34,83.0,100.0,79.08,63.3,Yellow
B0022,44.09,34.42,83.0,100.0,68.89,60.32,Yellow
B0023,50.13,34.77,83.0,100.0,79.91,63.32,Yellow
B0024,48.57,34.43,83.0,100.0,72.38,62.02,Yellow
B0025,45.83,37.87,83.0,100.0,71.73,61.99,Yellow
B0026,46.89,35.72,83.0,100.0,71.34,61.73,Yellow
B0027,45.29,38.22,83.0,100.0,73.52,62.09,Yellow
B0028,47.61,36.93,83.0,100.0,73.65,62.48,Yellow
B0029,45.6,36.34,83.0,100.0,70.48,61.41,Yellow
B0030,41.36,34.08,83.0,100.0,68.5,59.38,Yellow
B0031,44.78,33.91,83.0,100.0,67.57,60.27,Yellow
B0032,48.11,40.13,83.0,100.0,76.42,63.71,Yellow
B0033,42.74,37.15,83.0,100.0,66.89,60.4,Yellow
B0034,48.65,37.63,83.0,100.0,77.91,63.39,Yellow
B0035,43.02,37.56,83.0,100.0,70.69,60.96,Yellow
B0036,47.31,40.39,83.0,100.0,78.09,63.7,Yellow
B0037,48.63,33.65,83.0,100.0,77.33,62.33,Yellow
B0038,44.4,33.07,83.0,100.0,73.33,60.52,Yellow
B0039,47.25,36.61,83.0,100.0,76.71,62.6,Yellow
B0040,46.69,36.93,83.0,100.0,73.67,62.21,Yellow
B0041,46.99,33.76,83.0,100.0,74.44,61.58,Yellow
B0042,48.88,38.26,83.0,100.0,72.65,63.09,Yellow
B0043,49.45,38.09,83.0,100.0,74.04,63.36,Yellow
B0044,44.84,34.67,83.0,100.0,74.86,61.21,Yellow
B0045,51.11,39.62,83.0,100.0,78.29,64.67,Yellow
B0046,43.99,39.11,83.0,100.0,73.59,61.93,Yellow
B0047,52.35,35.47,83.0,100.0,80.76,64.25,Yellow
B0048,44.17,36.09,83.0,100.0,69.33,60.81,Yellow
B0049,45.7,40.62,83.0,100.0,70.16,62.48,Yellow
B0050,48.81,33.58,83.0,100.0,78.43,62.48,Yellow
B0051,48.23,35.89,83.0,100.0,79.12,62.95,Yellow
B0052,49.33,38.63,83.0,100.0,78.55,63.91,Yellow
B0053,44.86,37.93,83.0,100.0,74.89,62.03,Yellow
B0054,47.75,36.94,83.0,100.0,71.28,62.29,Yellow
B0055,45.31,35.08,83.0,100.0,73.74,61.34,Yellow
B0056,44.4,38.15,83.0,100.0,69.67,61.42,Yellow
B0057,46.11,34.45,83.0,100.0,76.15,61.66,Yellow
B0058,42.36,36.0,83.0,100.0,71.17,60.42,Yellow
B0059,47.56,38.47,83.0,100.0,72.08,62.69,Yellow
B0060,51.86,36.85,83.0,100.0,81.83,64.55,Yellow
B0061,48.29,37.71,83.0,100.0,73.56,62.87,Yellow
B0062,43.97,37.69,83.0,100.0,70.31,61.24,Yellow
B0063,48.06,36.5,83.0,100.0,74.64,62.61,Yellow
B0064,46.9,35.35,83.0,100.0,75.19,62.03,Yellow
B0065,46.13,35.9,83.0,100.0,70.9,61.5,Yellow
B0066,46.07,35.49,83.0,100.0,72.73,61.57,Yellow
B0067,45.04,38.16,83.0,100.0,73.34,61.99,Yellow
B0068,45.37,38.61,83.0,100.0,68.64,61.73,Yellow
B0069,46.72,34.25,83.0,100.0,71.85,61.36,Yellow
B0070,49.11,37.81,83.0,100.0,73.18,63.1,Yellow
B0071,43.96,42.15,83.0,100.0,71.25,62.45,Yellow
B0072,46.48,37.04,83.0,100.0,71.65,61.97,Yellow
B0073,44.5,38.27,83.0,100.0,71.18,61.64,Yellow
B0074,48.58,38.0,83.0,100.0,76.9,63.36,Yellow
B0075,46.12,37.04,83.0,100.0,74.07,62.1,Yellow
B0076,47.44,39.09,83.0,100.0,74.17,63.02,Yellow
B0077,45.81,35.8,83.0,100.0,72.58,61.55,Yellow
B0078,45.19,34.59,83.0,100.0,71.16,60.92,Yellow
B0079,49.28,36.28,83.0,100.0,81.06,63.56,Yellow
B0080,46.44,37.42,83.0,100.0,75.95,62.48,Yellow
B0081,46.57,37.42,83.0,100.0,72.66,62.19,Yellow
B0082,48.5,34.81,83.0,100.0,74.43,62.3,Yellow
B0083,46.24,38.95,83.0,100.0,69.66,62.18,Yellow
B0084,52.71,39.37,83.0,100.0,81.17,65.37,Yellow
B0085,45.21,41.77,83.0,100.0,68.87,62.49,Yellow
B0086,45.1,34.95,83.0,100.0,73.7,61.24,Yellow
