borrower_id,borrower_type,loan_amount,emi_amount,avg_monthly_income,month1_balance,month1_income,month1_paid,month2_balance,month2_income,month2_paid,month3_balance,month3_income,month3_paid,month4_balance,month4_income,month4_paid,month5_balance,month5_income,month5_paid,month6_balance,month6_income,month6_paid,defaulted,actual_default_late_period,predicted_default,default_probability,pilot_health_score,pilot_risk_bucket,prediction_result
B0001,gig_worker,25167,766.31,15523,13415.04,15572.57,True,13421.53,15446.21,True,12658.73,15450.15,True,12688.75,15469.28,True,11753.98,15474.61,True,12155.56,15344.49,True,False,False,False,0.0019,99.81,Green,Correctly Cleared
B0002,gig_worker,145797,5565.93,65911,43500.43,67524.93,True,45768.47,65875.03,True,45700.59,66420.78,True,46585.37,64310.87,True,44594.18,63625.9,True,48087.17,62386.03,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0003,small_trader,195221,6271.01,68184,40236.97,69157.51,True,40085.4,70996.3,True,40472.86,71548.15,True,37821.32,72233.17,True,35604.71,73912.65,True,38201.63,74434.6,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0004,salaried,42813,1662.73,12512,8182.07,12265.87,True,8109.64,12228.73,True,8523.26,12424.17,True,8260.64,12315.74,True,8824.2,12389.7,True,8846.02,12373.5,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0005,salaried,153074,6179.58,67949,57023.58,71297.33,True,56373.71,73261.42,True,58490.4,74149.67,True,56379.89,75077.85,True,56354.62,80637.46,True,58316.46,80927.83,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0006,small_trader,107123,4049.43,16080,10531.97,16452.54,True,10201.42,16563.14,True,9776.34,16177.07,True,9793.08,15762.82,True,10214.38,15278.3,True,9682.41,15568.12,True,False,False,False,0.0007,99.93,Green,Correctly Cleared
B0007,gig_worker,194935,8881.02,10620,6314.63,10982.91,True,5028.8,8477.97,True,3148.01,4906.5,True,2426.05,9485.16,False,363.88,4985.23,False,714.31,5559.89,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0008,salaried,198467,8110.97,61171,41924.59,59940.63,True,42828.11,58627.64,True,41352.92,57736.38,True,41521.88,58211.35,True,43903.82,57072.2,True,42379.87,57416.84,True,False,False,False,0.0004,99.96,Green,Correctly Cleared
B0009,salaried,87442,3533.45,14610,8032.72,14211.93,True,7884.9,13975.1,True,7828.56,13830.37,True,8215.73,14336.21,True,8656.95,14132.71,True,8517.34,13982.84,True,False,False,False,0.0002,99.98,Green,Correctly Cleared
B0010,farmer,60934,2568.69,60672,39544.06,66381.67,True,28693.0,74438.3,True,23929.8,59455.47,True,15235.24,46638.56,False,1674.25,23855.17,False,6613.03,26296.84,False,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0011,small_trader,33671,1413.7,65275,57219.66,68103.56,True,54882.22,70786.06,True,60261.03,71507.68,True,64609.77,73837.29,True,63571.12,76780.8,True,67580.37,78838.23,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0012,small_trader,76720,3729.28,67155,50579.36,65304.0,True,52562.08,65783.79,True,52965.67,68147.03,True,51770.21,67505.27,True,50648.86,67165.12,True,53771.71,68448.7,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0013,salaried,48546,2268.01,62165,29687.33,62166.23,True,29433.29,64688.58,True,30348.03,64924.75,True,30439.82,66239.49,True,32095.75,68579.07,True,30766.95,71623.75,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0014,small_trader,158190,5553.2,74168,48514.46,71858.65,True,46909.41,72746.99,True,52224.13,74281.33,True,52173.72,75435.73,True,57038.99,75233.47,True,56162.27,75621.83,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0015,small_trader,78666,3469.95,61010,29179.37,60365.38,True,29120.24,58224.31,True,28563.23,57207.95,True,25951.84,58352.98,True,26572.31,55704.6,True,25584.67,54352.1,True,False,False,False,0.0001,99.99,Green,Correctly Cleared
B0016,salaried,65918,2399.65,70694,38378.83,68487.67,True,37256.63,69037.19,True,37994.41,69915.26,True,38417.74,71517.78,True,37975.03,73058.44,True,37586.81,74476.13,True,False,False,False,0.0,100.0,Green,Correctly Cleared
B0017,salaried,116242,5092.85,37048,32275.05,38980.33,True,27295.67,29136.5,True,20320.44,30718.44,True,13574.75,19724.41,False,1123.03,18107.04,False,7359.96,16054.55,True,True,True,True,1.0,0.0,Red,Correctly Predicted Default
B0018,gig_worker,145174,6463.7,73092,37858.09,71622.94,True,37344.48,71586.28,True,34676.25,72296.66,True,36472.77,71958.66,True,36006.92,72902.4,True,35166.54,71263.35,True,False,False,False,0.0017,99.83,Green,Correctly Cleared
B0019,farmer,136406,5673.49,66382,47501.84,66265.32,True,51633.92,66133.37,True,49287.78,63240.97,True,54328.27,62319.58,True,55182.07,62114.34,True,55786.05,61500.66,True,False,False,False,0.0003,99.97,Green,Correctly Cleared
B0020,gig_worker,24439,757.2,34962,16963.0,35151.43,True,17558.75,36126.22,True,18574.86,36909.61,True,18859.42,37688.32,True,19345.31,38604.42,True,20044.38,39672.25,True,False,False,False,0.0,100.0,Green,Correctly Cleared
